type	name	sc	lefr	zcr
d	d	c	c	c
class
ristorante	ristorante_02_000_000	57.958979	463.000000	0.190071
ristorante	ristorante_02_000_001	74.745051	456.000000	0.251064
ristorante	ristorante_02_000_002	105.316823	467.000000	0.299291
ristorante	ristorante_02_001_000	68.819759	494.000000	0.197163
ristorante	ristorante_02_001_001	75.667149	465.000000	0.255319
ristorante	ristorante_02_001_002	86.251673	438.000000	0.268085
ristorante	ristorante_02_002_000	114.927156	460.000000	0.344681
ristorante	ristorante_02_002_001	90.585745	437.000000	0.282270
ristorante	ristorante_02_002_002	83.977323	456.000000	0.239716
ristorante	ristorante_02_003_000	57.827351	448.000000	0.188652
ristorante	ristorante_02_003_001	87.840049	456.000000	0.263830
ristorante	ristorante_02_003_002	75.130680	476.000000	0.209929
ristorante	ristorante_02_004_000	93.606999	469.000000	0.292199
ristorante	ristorante_02_004_001	68.060371	483.000000	0.202837
ristorante	ristorante_02_004_002	76.866325	451.000000	0.215603
ristorante	ristorante_02_005_000	61.072341	454.000000	0.180142
ristorante	ristorante_02_005_001	73.762347	471.000000	0.232624
ristorante	ristorante_02_005_002	96.066715	463.000000	0.286525
ristorante	ristorante_02_006_000	68.997347	455.000000	0.236879
ristorante	ristorante_02_006_001	147.696713	474.000000	0.384397
ristorante	ristorante_02_006_002	64.048313	460.000000	0.197163
ristorante	ristorante_02_007_000	104.925769	464.000000	0.287943
ristorante	ristorante_02_007_001	65.012667	446.000000	0.207092
ristorante	ristorante_02_007_002	72.051167	411.000000	0.205674
ristorante	ristorante_02_008_000	55.394147	446.000000	0.165957
ristorante	ristorante_02_008_001	56.933051	446.000000	0.177305
ristorante	ristorante_02_008_002	72.424744	458.000000	0.208511
ristorante	ristorante_02_009_000	54.392379	468.000000	0.192908
ristorante	ristorante_02_009_001	73.243321	455.000000	0.236879
ristorante	ristorante_02_009_002	45.449593	460.000000	0.165957
ristorante	ristorante_02_010_000	72.637043	435.000000	0.226950
ristorante	ristorante_02_010_001	58.774322	468.000000	0.187234
ristorante	ristorante_02_010_002	68.336468	459.000000	0.214184
ristorante	ristorante_02_011_000	69.551665	466.000000	0.208511
ristorante	ristorante_02_011_001	117.702044	454.000000	0.339007
ristorante	ristorante_02_011_002	87.184558	458.000000	0.285106
ristorante	ristorante_02_012_000	77.988978	450.000000	0.270922
ristorante	ristorante_02_012_001	70.111415	450.000000	0.224113
ristorante	ristorante_02_012_002	56.593592	474.000000	0.214184
ristorante	ristorante_02_013_000	48.777646	446.000000	0.134752
ristorante	ristorante_02_013_001	50.512203	453.000000	0.157447
ristorante	ristorante_02_013_002	62.710940	447.000000	0.222695
ristorante	ristorante_02_014_000	72.412444	484.000000	0.217021
ristorante	ristorante_02_014_001	66.854349	455.000000	0.219858
ristorante	ristorante_02_014_002	54.287428	454.000000	0.200000
ristorante	ristorante_02_015_000	69.776225	454.000000	0.228369
ristorante	ristorante_02_015_001	72.659111	447.000000	0.222695
ristorante	ristorante_02_015_002	75.979858	466.000000	0.249645
ristorante	ristorante_02_016_000	69.174447	432.000000	0.228369
ristorante	ristorante_02_016_001	82.682395	464.000000	0.299291
ristorante	ristorante_02_016_002	77.076514	477.000000	0.239716
ristorante	ristorante_02_017_000	45.662219	471.000000	0.170213
ristorante	ristorante_02_017_001	50.836775	439.000000	0.143262
ristorante	ristorante_02_017_002	73.709050	466.000000	0.252482
ristorante	ristorante_02_018_000	62.411461	447.000000	0.195745
ristorante	ristorante_02_018_001	66.036428	448.000000	0.192908
ristorante	ristorante_02_018_002	56.982885	480.000000	0.209929
ristorante	ristorante_02_019_000	71.012317	464.000000	0.229787
ristorante	ristorante_02_019_001	68.417938	464.000000	0.242553
ristorante	ristorante_02_019_002	72.959080	463.000000	0.228369
ristorante	ristorante_02_020_000	63.826556	462.000000	0.215603
ristorante	ristorante_02_020_001	62.327534	447.000000	0.198582
ristorante	ristorante_02_020_002	80.787689	473.000000	0.229787
ristorante	ristorante_02_021_000	79.451710	452.000000	0.283688
ristorante	ristorante_02_021_001	59.909568	458.000000	0.200000
ristorante	ristorante_02_021_002	58.604941	467.000000	0.204255
ristorante	ristorante_02_022_000	80.860129	459.000000	0.285106
ristorante	ristorante_02_022_001	59.450704	470.000000	0.175887
ristorante	ristorante_02_022_002	78.783132	446.000000	0.258156
ristorante	ristorante_02_023_000	39.474019	488.000000	0.160284
ristorante	ristorante_02_023_001	35.200667	474.000000	0.112057
ristorante	ristorante_02_023_002	51.785052	483.000000	0.167376
ristorante	ristorante_02_024_000	132.207543	451.000000	0.421277
ristorante	ristorante_02_024_001	97.308959	477.000000	0.270922
ristorante	ristorante_02_024_002	63.230285	446.000000	0.224113
ristorante	ristorante_02_025_000	61.758980	495.000000	0.228369
ristorante	ristorante_02_025_001	61.420152	482.000000	0.259574
ristorante	ristorante_02_025_002	56.094530	503.000000	0.165957
ristorante	ristorante_02_026_000	58.502800	471.000000	0.194326
ristorante	ristorante_02_026_001	75.449057	463.000000	0.224113
ristorante	ristorante_02_026_002	90.680920	460.000000	0.285106
ristorante	ristorante_02_027_000	86.556556	459.000000	0.241135
ristorante	ristorante_02_027_001	70.744126	465.000000	0.221277
ristorante	ristorante_02_027_002	65.663735	453.000000	0.209929
ristorante	ristorante_02_028_000	55.691433	425.000000	0.150355
ristorante	ristorante_02_028_001	84.632590	462.000000	0.276596
ristorante	ristorante_02_028_002	76.523217	467.000000	0.251064
ristorante	ristorante_02_029_000	64.419433	446.000000	0.190071
ristorante	ristorante_02_029_001	60.093885	518.000000	0.191489
ristorante	ristorante_02_029_002	51.967821	464.000000	0.165957
